,1 thread,2 threads,4 threads,8 threads
1,336.645,50.052,188.42,203.578
3,340.671,681.512,281.237,311.9
5,325.773,60.015,229.057,35.603
7,341.345,679.65,398.798,417.384
9,328.013,136.746,364.229,81.708
11,325.928,651.105,73.53,337.075
13,339.033,665.709,454.8,113.712
15,340.628,681.347,1344.519,1331.212
17,326.951,134.005,1307.239,1267.278
19,328.484,655.423,1303.629,1275.71
21,239.837,117.827,954.894,940.978
23,326.057,650.68,1299.702,1273.06
25,229.234,457.623,913.268,167.211
27,338.9,676.013,1345.728,248.123
29,328.93,639.918,1310.198,1276.758
31,340.363,680.837,1351.127,1333.053
33,329.059,654.269,210.283,1286.229
35,328.183,655.643,1286.239,202.212
37,240.275,118.158,955.255,170.186
39,328.201,655.942,1303.457,255.908
41,266.565,116.656,1057.272,1054.041
43,240.281,480.965,954.171,947.154
45,345.686,147.275,1365.618,1342.021
47,325.849,136.157,237.542,1253.119
49,271.171,541.276,223.512,1038.377
51,229.351,119.261,911.297,181.109
53,242.51,381.145,961.553,954.195
55,338.341,676.743,1348.851,1339.26
57,344.782,689.273,250.823,288.834
59,329.11,657.708,1294.695,1292.097
61,328.918,657.081,1288.829,1301.348
63,340.57,679.554,1341.617,293.161
